Baseline,Metric,Mean,StdDev,nr_nodes
EL,lpips,0.2669828222692013,0.019833840842913196,100
TopK,lpips,0.3463195165991783,0.023166316432574146,100
VNode16,lpips,0.8150417068228125,0.014212152887636857,1600
VNode2,lpips,0.42223316594958304,0.025287926363329626,200
VNode4,lpips,0.6917417976260185,0.020404835437480336,400
VNode8,lpips,0.7806487630307675,0.015218859059708186,800
