Baseline,Metric,Mean,StdDev,nr_nodes
EL,snr,18.87038636159611,0.6376819954925671,100
TopK,snr,17.65486724384865,0.6057752244311112,100
VNode16,snr,10.070028435722461,0.6454908283283227,1600
VNode2,snr,13.877626933248765,0.69179769473665,200
VNode4,snr,11.275489487788654,0.6548388141129524,400
VNode8,snr,10.374775853155478,0.6441445971790771,800
