Baseline,Metric,Mean,StdDev,nr_nodes
EL,ssim,0.8507423380626972,0.02284178156705794,100
TopK,ssim,0.7987646654689807,0.024727620920854957,100
VNode16,ssim,0.142668641482012,0.022131030097796975,1600
VNode2,ssim,0.6581199994149717,0.02406901603703639,200
VNode4,ssim,0.3641021197571655,0.021208806156836686,400
VNode8,ssim,0.22503600295054135,0.020778009769756765,800
